Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,0.487165,0.488322,0.432429,0.436112,0.436112,140366349
2022-02-18,0.436461,0.449212,0.410218,0.413266,0.413266,94138572
2022-02-19,0.413127,0.424596,0.399908,0.417159,0.417159,65411781
2022-02-20,0.417160,0.417245,0.377966,0.392726,0.392726,84152402
2022-02-21,0.392630,0.422552,0.356446,0.357511,0.357511,131307014
2022-02-22,0.357387,0.383549,0.350097,0.383267,0.383267,101472718
2022-02-23,0.383229,0.392597,0.354776,0.355198,0.355198,86064371
2022-02-24,0.354755,0.360511,0.305443,0.360511,0.360511,171520914
2022-02-25,0.360562,0.369129,0.341730,0.359883,0.359883,152881746
2022-02-26,0.359992,0.370610,0.344421,0.347264,0.347264,109434848
2022-02-27,0.347118,0.362717,0.330669,0.337104,0.337104,122067034
2022-02-28,0.337081,0.377095,0.329421,0.377095,0.377095,106276903
2022-03-01,0.377088,0.387920,0.367023,0.375482,0.375482,110410497
2022-03-02,0.375373,0.392196,0.364716,0.373737,0.373737,105462377
2022-03-03,0.373736,0.377012,0.354720,0.364855,0.364855,78615725
2022-03-04,0.364919,0.365204,0.335546,0.339242,0.339242,70019510
2022-03-05,0.339365,0.347217,0.331047,0.346835,0.346835,51349378
2022-03-06,0.346873,0.351482,0.330017,0.330017,0.330017,50792737
2022-03-07,0.330037,0.343505,0.316294,0.330033,0.330033,88044752
2022-03-08,0.330015,0.359858,0.329320,0.335447,0.335447,108112410
2022-03-09,0.335479,0.363219,0.335479,0.346951,0.346951,87538888
2022-03-10,0.346906,0.347058,0.319703,0.325840,0.325840,80078034
2022-03-11,0.325853,0.338958,0.317117,0.320058,0.320058,78785909
2022-03-12,0.319972,0.327737,0.319755,0.319794,0.319794,37242530
2022-03-13,0.319257,0.358237,0.317945,0.335463,0.335463,145440787
2022-03-14,0.335386,0.374069,0.328704,0.365960,0.365960,157138419
2022-03-15,0.365929,0.432036,0.354887,0.423597,0.423597,393293468
2022-03-16,0.424009,0.455610,0.415102,0.453437,0.453437,366599159
2022-03-17,0.453494,0.453827,0.404819,0.409211,0.409211,205553533
2022-03-18,0.409124,0.427842,0.398263,0.411410,0.411410,182158415
2022-03-19,0.411330,0.426804,0.407076,0.410782,0.410782,163469710
2022-03-20,0.410790,0.419630,0.389852,0.390427,0.390427,131905788
2022-03-21,0.390377,0.420099,0.382063,0.413878,0.413878,193347124
2022-03-22,0.413737,0.422046,0.405180,0.409860,0.409860,188977113
2022-03-23,0.409814,0.431337,0.403035,0.424580,0.424580,135782439
2022-03-24,0.424564,0.438095,0.412618,0.438095,0.438095,137710147
2022-03-25,0.438533,0.450211,0.403906,0.409442,0.409442,178717590
2022-03-26,0.409571,0.416510,0.406764,0.410948,0.410948,94330980
2022-03-27,0.410950,0.430325,0.408218,0.430325,0.430325,120148769
2022-03-28,0.430465,0.484166,0.427932,0.432394,0.432394,311971074
2022-03-29,0.431947,0.493158,0.431947,0.490373,0.490373,325918542
2022-03-30,0.490182,0.496765,0.459601,0.480653,0.480653,261317641
2022-03-31,0.480763,0.524208,0.464610,0.469444,0.469444,317350927
2022-04-01,0.469545,0.494396,0.438701,0.484390,0.484390,357199965
2022-04-02,0.484433,0.548755,0.482898,0.513957,0.513957,747050167
2022-04-03,0.514102,0.531014,0.496200,0.516727,0.516727,405092370
2022-04-04,0.516721,0.516926,0.470861,0.493226,0.493226,327510218
2022-04-05,0.493217,0.499229,0.460230,0.460706,0.460706,217095259
